MentalHealthDescription,MentalHealthNow,Anxiety,ControlWorrying,WorryingTooMuch,TrobleRelaxing,HardToSitStill,EasilyAnnoyed,Afraid,Stress,ShoppingToDrugStore,DeliveryServiceForGroceryOrDrug,FoodDelivery,ImpactsOnHealth,Household,Vunerable,CanadaPopHealth,WorldPopHealth,Overloading,CivilDisorder,MaintainingSocials,SuportAfterCrisis,SupportDuringCrisis,StressFromConfinement,Gender,CanadianCitizen,Age,Born,VERDATE
Good,Somewhat better now,Several Days,Several days,Several days,Several days,Not at all,Not at all,Several days,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Fair,Much worse now,More than half the days,Nearly every day,Nearly every day,More than half the days,Several days,Not at all,Several days,Quite a bit stressful,Zero times,Zero Times,Zero Times,Extremely,Somewhat,Extremely,Very,Very,Very,Somewhat,Extremely,Very,Very,Somewhat,Female,"Yes, Canadian by birth",12,Born outside Canada,JULY
Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Extremely,Extremely,Very,Not at all,Not at all,Not at all,Somewhat,Male,"Yes, Canadian citizen by naturalization",0,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Extremely,Very,Very,Very,Not at all,Very,Very,Very,Not at all,Female,"Yes, Canadian by birth",19,Born outside Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Not at all,Not at all,Very,Not at all,Male,"No, not Canadian citizen",1,Born in Canada,JULY
Good,Much worse now,Nearly every day,More than half the days,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Extremely stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Not at all,Somewhat,Very,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",19,Born outside Canada,JULY
Good,Somewhat worse now,Not at all,Not at all,More than half the days,Nearly every day,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Very Good,About the same,Several Days,Several days,Several days,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Not at all,Somewhat,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian citizen by naturalization",3,Born in Canada,JULY
Excellent,About the same,Several Days,Several days,Several days,Several days,Several days,More than half the days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Extremely,Extremely,Very,Very,Very,Extremely,Somewhat,Very,Somewhat,Very,Female,"Yes, Canadian citizen",8,Born in Canada,JULY
Good,Somewhat worse now,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Very,Somewhat,Male,"Yes, Canadian citizen by naturalization",0,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Not at all,More than half the days,Not at all,Quite a bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Male,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Fair,Somewhat worse now,Several Days,Several days,Several days,Several days,Several days,Nearly every day,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Female,"Yes, Canadian by birth",9,Born in Canada,JULY
Good,About the same,Not at all,More than half the days,More than half the days,Several days,Not at all,Nearly every day,More than half the days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,"Yes, Canadian citizen by naturalization",10,Born outside Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Male,"No, not Canadian citizen",4,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,Nearly every day,More than half the days,Several days,More than half the days,More than half the days,Not at all,Not at all stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Extremely,Very,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Very,Somewhat,Somewhat,Female,"Yes, Canadian by birth",13,Born outside Canada,JULY
Fair,Somewhat worse now,Nearly every day,More than half the days,Several days,More than half the days,Not at all,Several days,Several days,A bit stressful,Zero times,1 to 3 times,Zero Times,Not at all,Not at all,Very,Very,Very,Very,Somewhat,Very,Very,Very,Extremely,Female,"Yes, Canadian by birth",10,Born outside Canada,JULY
Good,Somewhat worse now,More than half the days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Extremely,Very,Extremely,Very,Female,"Yes, Canadian citizen by naturalization",14,Born outside Canada,JULY
Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Quite a bit stressful,Zero times,1 to 3 times,1 to 3 times,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Not at all,Female,"Yes, Canadian citizen by naturalization",15,Born outside Canada,JULY
Excellent,About the same,Several Days,Not at all,Not at all,Several days,Not at all,Several days,Several days,A bit stressful,Zero times,1 to 3 times,Zero Times,Very,Very,Extremely,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian citizen",4,Born in Canada,JULY
Very Good,Somewhat worse now,More than half the days,Several days,Several days,Several days,Several days,Nearly every day,Not at all,Quite a bit stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,"No, not Canadian citizen",9,Born in Canada,JULY
Good,About the same,Several Days,Not at all,Several days,Several days,Several days,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Male,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Very Good,Somewhat worse now,More than half the days,Several days,Several days,Several days,More than half the days,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Very,Female,"No, not Canadian citizen",9,Born in Canada,JULY
Good,Somewhat worse now,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,Quite a bit stressful,Zero times,1 to 3 times,1 to 3 times,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",15,Born outside Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Several days,More than half the days,Several days,A bit stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Very,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Very Good,About the same,Several Days,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Extremely,Extremely,Not at all,Male,"No, not Canadian citizen",3,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Not at all,More than half the days,Not at all,A bit stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",6,Born in Canada,JULY
Fair,About the same,Several Days,Several days,Several days,Several days,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian by birth",7,Born in Canada,JULY
Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Very,Very,Very,Very,Somewhat,Very,Extremely,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",2,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Not at all,Several days,Not at all,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Excellent,Somewhat better now,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Not at all,Not at all,Somewhat,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,JULY
Good,Much worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Several days,Quite a bit stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Very,Somewhat,Female,"Yes, Canadian citizen by naturalization",17,Born outside Canada,JULY
Very Good,About the same,Several Days,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not very stressful,Zero times,Zero Times,Zero Times,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Female,"No, not Canadian citizen",3,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Very,Very,Very,Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Male,"Yes, Canadian citizen",3,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Not at all,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Somewhat,Not at all,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,"Yes, Canadian citizen",2,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Zero times,1 to 3 times,1 to 3 times,Somewhat,Not at all,Not at all,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,"No, not Canadian citizen",0,Born in Canada,JULY
Very Good,About the same,Not at all,Several days,Several days,Several days,Several days,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Not at all,Extremely,Very,Very,Extremely,Not at all,Very,Somewhat,Not at all,Somewhat,Female,"No, not Canadian citizen",4,Born in Canada,JULY
Very Good,Somewhat better now,Several Days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Very,Very,Very,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Very,Male,"No, not Canadian citizen",3,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Several days,Not at all,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Male,"No, not Canadian citizen",4,Born in Canada,JULY
Good,Much worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Several days,Extremely stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Very,Very,Very,Extremely,Male,"Yes, Canadian citizen by naturalization",17,Born outside Canada,JULY
Good,Somewhat worse now,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Not at all,Very,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Male,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all stressful,Zero times,1 to 3 times,Zero Times,Not at all,Not at all,Not at all,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Male,"Yes, Canadian citizen",0,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,More than half the days,More than half the days,More than half the days,More than half the days,Nearly every day,More than half the days,Quite a bit stressful,4 or 5 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Extremely,Female,"Yes, Canadian by birth",16,Born outside Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,"Yes, Canadian citizen",0,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Not at all,Several days,More than half the days,Several days,Not at all,Several days,Quite a bit stressful,Zero times,Zero Times,1 to 3 times,Very,Extremely,Extremely,Very,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",6,Born in Canada,JULY
Good,Much better now,Several Days,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,A bit stressful,Daily or more to 3 times,1 to 3 times,Zero Times,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,Several days,Nearly every day,More than half the days,More than half the days,Several days,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Female,"No, not Canadian citizen",11,Born outside Canada,JULY
Fair,Somewhat worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not very stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Very,Female,"Yes, Canadian by birth",21,Born outside Canada,JULY
Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all stressful,Zero times,Zero Times,Zero Times,Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,"Yes, Canadian citizen by naturalization",0,Born in Canada,JULY
Good,Somewhat worse now,More than half the days,Several days,Several days,More than half the days,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Male,"Yes, Canadian citizen by naturalization",9,Born in Canada,JULY
Very Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",18,Born outside Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,"No, not Canadian citizen",0,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Not at all,Nearly every day,Several days,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Female,"Yes, Canadian citizen by naturalization",8,Born in Canada,JULY
Very Good,About the same,Several Days,Several days,Several days,Several days,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Fair,About the same,Several Days,Several days,Several days,Several days,Not at all,Several days,Several days,Not very stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Not at all,Not at all,Extremely,Not at all,Somewhat,Somewhat,Very,Very,Somewhat,Very,Not at all,Female,"Yes, Canadian by birth",6,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Very,Somewhat,Extremely,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Male,"No, not Canadian citizen",2,Born in Canada,JULY
Very Good,Much worse now,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Extremely stressful,Zero times,Zero Times,Zero Times,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Extremely,Female,"No, not Canadian citizen",21,Born outside Canada,JULY
Good,Much worse now,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Very,Female,"Yes, Canadian citizen by naturalization",3,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,More than half the days,More than half the days,Nearly every day,Several days,Nearly every day,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Very,Somewhat,Female,"Yes, Canadian by birth",15,Born outside Canada,JULY
Good,Somewhat worse now,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,More than half the days,Nearly every day,Extremely stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Extremely,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Female,"Yes, Canadian citizen by naturalization",16,Born outside Canada,JULY
Very Good,Somewhat worse now,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Very,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,"No, not Canadian citizen",3,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,Quite a bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Female,"No, not Canadian citizen",13,Born outside Canada,JULY
Very Good,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Extremely,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,Several days,Not at all,Several days,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Female,"No, not Canadian citizen",5,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,Nearly every day,Nearly every day,More than half the days,Not at all,More than half the days,More than half the days,Quite a bit stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Very,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Female,"Yes, Canadian by birth",15,Born outside Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A bit stressful,Zero times,1 to 3 times,Zero Times,Very,Very,Not at all,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,"Yes, Canadian citizen",0,Born in Canada,JULY
Fair,About the same,Several Days,Several days,More than half the days,More than half the days,Several days,More than half the days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian by birth",10,Born outside Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Male,"No, not Canadian citizen",2,Born in Canada,JULY
Very Good,About the same,Several Days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Not at all,Very,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Female,"No, not Canadian citizen",2,Born in Canada,JULY
Good,Much worse now,Several Days,Several days,Several days,Several days,Several days,Several days,Several days,Quite a bit stressful,Zero times,1 to 3 times,Zero Times,Very,Very,Very,Extremely,Extremely,Extremely,Very,Very,Very,Very,Extremely,Male,"Yes, Canadian citizen by naturalization",7,Born in Canada,JULY
Fair,Somewhat worse now,Several Days,Several days,Several days,Several days,Several days,Not at all,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Somewhat,Very,Very,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Female,"Yes, Canadian by birth",6,Born in Canada,JULY
Fair,Somewhat worse now,Several Days,Several days,Not at all,Several days,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Not at all,Not at all,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian by birth",3,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Male,"No, not Canadian citizen",4,Born in Canada,JULY
Fair,Somewhat worse now,Several Days,More than half the days,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,Quite a bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Male,"Yes, Canadian by birth",13,Born outside Canada,JULY
Good,Somewhat worse now,More than half the days,Several days,Several days,More than half the days,More than half the days,Nearly every day,Nearly every day,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Very,Somewhat,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Very,Male,"Yes, Canadian citizen by naturalization",14,Born outside Canada,JULY
Very Good,Somewhat better now,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Very,Very,Very,Very,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Female,"No, not Canadian citizen",2,Born in Canada,JULY
Fair,Somewhat worse now,Several Days,Several days,Several days,Nearly every day,Several days,Several days,Several days,Quite a bit stressful,Zero times,1 to 3 times,Zero Times,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Female,"Yes, Canadian by birth",9,Born in Canada,JULY
Good,About the same,Several Days,Several days,Several days,Several days,Several days,More than half the days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Not at all,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",8,Born in Canada,JULY
Good,About the same,Not at all,Several days,Several days,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",4,Born in Canada,JULY
Good,Somewhat worse now,More than half the days,More than half the days,More than half the days,More than half the days,Not at all,Several days,Nearly every day,Not very stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Not at all,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",12,Born outside Canada,JULY
